"H1"||"H"||1||0|||43|||43||0|0|0|0|0|0|100|100|100|100|100|100|97|99|100|93|97|100|1.7|4.5|7|0|0.2|1|0|0.4|2|0.1|0.6|2|0.1|1.4|2|0.5|1.9|3|58|64.5|71.1|||||||27|31|35|0|0|1|4.5|5.25|6||||1.2|1.3|1.4||||1.33|1.43|1.45||4.23|9.17|14.11|0.15|0.18|0.21||||32.5|34.1|35.6|19.3|22.1|24.9|41|45|49|2.6|3.2|3.6|46|51|56|18|21|24|19|25|30|".28"|".28"|0|0|5|0|0|0|0|0|0|0|0|0|23.1|26.3|28.7||||14|21|26|6.1|6.8|7.8||||||||||2.7|6.1|8.5|||||||||||||||||||||"12574694"|"35936109"
"H1"||"H"||1||0|||30|||30||0|0|0|0|0|0|100|100|100|100|100|100|95|99|100|91|96|100|1|5.1|7|0|0.3|1|0.1|0.8|2|0.1|1|2|0.3|1|2|0.3|2|5|66|70.9|84|||||||15|24|27|0|0|0|3.5|4.25|5||||1.25|1.35|1.45||||1.31|1.41|1.47||4.23|9.17|14.11|0.22|0.23|0.24||||22|31.8|33.3|12.5|18.1|20.6|40|44|48|0|1.5|2.9|32|42|47|9|16|18|8|17|22|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|16|24|32|||||||6.1|7|7.3|||||||||||||||||||||||||||||||||"12574693"|"35936103"
"H2"||"H"||2||30|||76|||46||0|0|0|0|0|0|100|100|100|100|100|100|96|99|100|92|96|100|1|5.1|7|0|0.3|1|0.1|0.8|2|0.1|1|2|0.3|1|2|0.3|2|5|58|62.9|72|||||||27|32|35|0|0|0|0.5|1|1.5||||1.35|1.45|1.55||||1.55|1.65|1.72||4.23|9.17|14.11|0.18|0.19|0.21||||27|32.8|34.1|16.3|19.8|22.2|39|42|46|3|4.5|5.9|38|44|48|19|23|25|18|24|28|".37"|".37"|0|0|10|0|0|0|0|0|0|0|0|0|17|24|31|||||||6.1|7.2|7.8|||||||||||||||||||||||||||||||||"12574693"|"35936104"
"H4"||"H"||4||99|||152|||53||0|0|0|0|0|0|100|100|100|100|100|100|96|99|100|91|96|100|1|5.1|7|0|0.3|1|0.1|0.8|2|0.1|1|2|0.3|1|2|0.3|2|5|75|82.9|91|||||||8|12|18|0|0|0|0|0.25|0.5||||1.4|1.5|1.6||||1.47|1.57|1.63||4.23|9.17|14.11|0.19|0.22|0.26||||14.8|23.4|27.1|4.8|7.6|11.5|37|41|45|0|1.5|2.9|18|23|30|4|7|12|0|4|11|".64"|".64"|15|25|35|0|0|0|0|0|0|0|0|0|5|12.5|20|||||||7.9|8.2|8.4|||||||||||||||||||||||||||||||||"12574693"|"35936105"
"H3"||"H"||3||76|||99|||23||0|0|0|0|0|0|100|100|100|100|100|100|95|99|100|90|96|100|1|5.1|7|0|0.3|1|0.1|0.8|2|0.1|1|2|0.3|1|2|0.3|2|5|66|76.9|87|||||||12|18|27|0|0|0|0|0.25|0.5||||1.4|1.5|1.6||||1.47|1.57|1.63||4.23|9.17|14.11|0.19|0.22|0.26||||17.3|26.8|31|7.2|11.1|16.9|37|41|45|0|1.5|2.9|22|28|38|7|12|19|4|10|20|".55"|".55"|5|18|30|0|0|0|0|0|0|0|0|0|9|15.5|22|||||||7.4|8|8.4|||||||||||||||||||||||||||||||||"12574693"|"35936106"
"H1"||"H"||1||0|||56|||56||0|0|0|0|0|0|100|100|100|100|100|100|97|99|100|94|99|100|1|1.7|7|0|0.3|1|0.1|0.3|2|0.1|0.1|2|0.1|0.1|2|0.5|0.9|5|58|67.3|72|||||||27|31|35|0|0|0|4|5|6||||1.05|1.15|1.25||||1.21|1.31|1.37||4.23|9.17|14.11|0.21|0.23|0.24||||27.8|32.5|34.1|16.5|19.3|22|48|52|56|3|4.5|5.9|45|51|57|18|21|24|19|25|30|".24"|".24"|15|25|40|0|0|0|0|0|0|0|0|0|24|28.5|33|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"12574692"|"35936099"
"H2"||"H"||2||56|||97|||41||0|0|0|0|0|0|100|100|100|100|100|100|96|99|100|93|98|100|1|3|7|0|0.5|1|0.1|0.6|2|0.1|0.3|2|0.1|0.4|2|0.5|1.2|5|58|66|72|||||||27|31|35|0|0|0|0.5|1.25|2||||1.2|1.35|1.5||||1.39|1.54|1.6||4.23|9.17|14.11|0.18|0.2|0.22||||26.6|31.9|33.6|15.2|18.2|21.2|41|46|52|3|4.5|5.9|38|43|49|19|22|25|18|23|28|".43"|".43"|5|15|35|0|0|0|0|0|0|0|0|0|17|21|25|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"12574692"|"35936100"
"H3"||"H"||3||97|||113|||16||0|0|0|0|0|0|100|100|100|100|100|100|97|99|100|95|98|100|1|2.5|7|0|0.3|1|0.1|0.5|2|0.1|0.1|2|0.1|0.3|2|0.5|1.3|5|66|66.5|75|||||||22|31|35|0|0|0|0.5|0.75|1||||1.25|1.4|1.55||||1.45|1.6|1.66||4.23|9.17|14.11|0.17|0.2|0.22||||22.6|31.9|33.4|13|18.3|20.8|39|44|50|3|4.5|5.9|33|42|47|15|22|25|13|23|28|".43"|".43"|5|15|35|0|0|0|0|0|0|0|0|0|14|18.5|23|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"12574692"|"35936101"
"H4"||"H"||4||113|||203|||90||0|0|0|0|0|0|100|100|100|100|100|100|97|100|100|95|99|100|1|1.3|7|0|0|1|0.1|0.1|2|0.1|0.2|2|0.1|0.2|2|0.5|0.8|5|66|75.7|79|||||||20|23|27|0|0|0|0|0.25|0.5||||1.3|1.43|1.55||||1.37|1.5|1.56||4.23|9.17|14.11|0.2|0.21|0.22||||24.3|28.6|30.5|11.4|13.5|16.1|39|44|48|0|1.5|2.9|29|33|38|13|15|19|11|14|20|".49"|".49"|10|25|40|0|0|0|0|0|0|0|0|0|12|14.5|17|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"12574692"|"35936102"
"Ap"||"A"|||0|0|0|18|18|24||18||0|0|0|0|0|0|100|100|100|98|98|100|94|98|100|87|92|100|2|8|15|0|0.1|1|0|0.2|2|0|1|3|0|3.6|6|1|3.1|6|47|58|68|||||||30|34|38|0|0|0|2|3|4||||1.35|1.45|1.55||||1.56|1.66|1.73||1.41|2.82|4.23|0.14|0.17|0.2||||32.5|34.5|36.6|19.7|23.2|27|37|40|45|3|4.5|5.9|43|50|56|21|24|27|19|25|32|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|2|16.2|18.4|20.6||||10|16.7|20.5|5.6|6.8|7.3||||||||||2.8|5.2|10|||||||||||||||||||||"12574720"|"35936194"
